Symbol,Date,Session,TimeFrame,StrategyName,StateMachine,EntryNumber,Quantity,EntryFillPrice,EntryAmount,EntryFillTime,ExitFillPrice,ExitAmount,ExitFillTime,ExitReason,Pnl,PnlPerc,NetPnl,Mfe,MfePerc,MfeTimeStamp,Mae,MaePerc,MaeTimeStamp,PnlPerc_category,MfePerc_category,SamplingData,
DOGEUSDT,20240102,Ist,1,OrbManual,Breakout,9,107,0.09295,9.9456,05:57:00,0.09286,9.936,05:59:00,PriceActionEod,-9.00E-05,-0.0968,-0.0096,0.09295,0,05:57:00,0.09286,-0.0968,05:59:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,5,107,0.09282,9.9317,05:59:00,0.09286,9.936,06:31:00,PriceActionEod,4e-05,0.0431,0.0043,0.093,0.1939,06:26:00,0.09276,-0.0646,06:09:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,5,107,0.09282,9.9317,05:59:00,0.09286,9.936,06:31:00,PriceActionEod,4e-05,0.0431,0.0043,0.093,0.1939,06:26:00,0.09276,-0.0646,06:09:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,Orb,Breakout,10,107,0.09288,9.9382,06:15:00,0.09291,9.9414,06:19:00,PriceActionEod,3e-05,0.0323,0.0032,0.09296,0.0861,06:18:00,0.09288,0,06:15:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,OrbManual,Breakout,10,107,0.09288,9.9382,06:15:00,0.09291,9.9414,06:19:00,PriceActionEod,3e-05,0.0323,0.0032,0.09296,0.0861,06:18:00,0.09288,0,06:15:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,6,107,0.09294,9.9446,06:17:00,0.09286,9.936,06:31:00,PriceActionEod,-8.00E-05,-0.0861,-0.0086,0.093,0.0646,06:26:00,0.09283,-0.1184,06:21:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,6,107,0.09294,9.9446,06:17:00,0.09286,9.936,06:31:00,PriceActionEod,-8.00E-05,-0.0861,-0.0086,0.093,0.0646,06:26:00,0.09283,-0.1184,06:21:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,Breakout,7,107,0.093,9.951,06:26:00,0.09289,9.9392,06:31:00,PriceActionEod,-0.00011,-0.1183,-0.0118,0.093,0,06:26:00,0.09289,-0.1183,06:31:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,Orb,Breakout,7,107,0.093,9.951,06:26:00,0.09289,9.9392,06:31:00,PriceActionEod,-0.00011,-0.1183,-0.0118,0.093,0,06:26:00,0.09289,-0.1183,06:31:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,OrbManual,PullBack,2,107,0.093,9.951,06:29:00,0.09288,9.9382,06:31:00,PriceActionEod,-0.00012,-0.129,-0.0128,0.093,0,06:29:00,0.09288,-0.129,06:31:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,3,Orb,PullBack,2,107,0.093,9.951,06:29:00,0.09288,9.9382,06:32:00,PriceActionEod,-0.00012,-0.129,-0.0128,0.093,0,06:29:00,0.0928,-0.2151,06:31:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Utc,1,YesterdayHigh,Breakout,6,16,0.6241,9.9856,06:36:00,0.6243,9.9888,06:41:00,PriceActionEod,0.0002,0.032,0.0032,0.6243,0.032,06:40:00,0.6239,-0.032,06:38:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Utc,1,YesterdayHigh,Breakout,7,16,0.6241,9.9856,06:39:00,0.6243,9.9888,06:41:00,PriceActionEod,0.0002,0.032,0.0032,0.6243,0.032,06:40:00,0.6241,0,06:39:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
